votes,links,views,tags,answers,questions
4467,2025282,924135,"android,android-layout,user-interface,dimension,units-of-measurement",35,"What is the difference between “px”, “dp”, “dip” and “sp” on Android?"
2763,1554099,879834,"android,performance,android-emulator,qemu",79,Why is the Android emulator so slow? How can we speed up the Android emulator?
2719,13375357,238536,"java,android,usermanager",11,Proper use cases for Android UserManager.isUserAGoat()?
2548,1109022,1009255,"android,android-softkeyboard,android-keypad,android-input-method,soft-keyboard",58,Close/hide the Android Soft Keyboard
1956,1555109,480576,"android,android-listview,android-edittext",43,Stop EditText from gaining focus at Activity startup
1948,2785485,700824,"java,android,uniqueidentifier",37,Is there a unique Android device ID?
1910,151777,565371,"android,android-activity,application-state",25,Saving Android Activity state using Save Instance State
1636,2194808,247084,"android,eclipse,certificate",17,“Debug certificate expired” error in Eclipse Android plugins
1590,6343166,842315,"android,networkonmainthread,thread-exceptions",42,How to fix android.os.NetworkOnMainThreadException?
1537,101754,400214,"android,python,jython,ase,android-scripting",22,Is there a way to run Python on Android?
1534,541966,488132,"android,image,listview,url,universal-image-loader",37,Lazy load of images in ListView
1509,1016896,977394,"android,layout,screen,pixel,dimensions",31,Get screen dimensions in pixels
1428,432037,861228,"android,text,center,textview",37,How do I center text horizontally and vertically in a TextView on Android?
1256,3572463,437360,"android,android-context",28,What is 'Context' on Android?
1123,5761960,228975,"android,android-layout",14,What is the difference between match_parent and fill_parent?
1054,456211,328779,"android,rotation,android-activity",27,Activity restart on rotation Android
1045,4382178,406728,"java,android,sdk,windows-7-x64,jdk6",45,Android SDK installation doesn't find JDK
1009,1678122,221126,"java,android,eclipse,override,superclass",12,'Must Override a Superclass Method' Errors after importing a project into Eclipse
960,18302603,358094,"android,android-studio,android-assets",13,Where do I place the 'assets' folder in Android Studio?
952,3482742,401868,"android,android-layout",18,Gravity and layout_gravity on Android
935,4535298,252283,"android,android-emulator,emulator",24,How do I rotate the Android emulator display? [duplicate]
925,477572,523378,"android,image,bitmap,out-of-memory,android-bitmap",38,Strange out of memory issue while loading an image to a Bitmap object
924,2033914,238914,android,37,Is quitting an application frowned upon?
916,937313,378157,"android,listener,gesture-recognition",18,Fling gesture detection on grid layout
